benchmark_id,benchmark_name,category,problem_family,implementation_id,library,algorithm,planned_input_status,planned_capability_status,comparison_track,problem_scope,run_records,legacy_run_records,protocol_v3_run_records,protocol_v3_executed_records,protocol_v3_not_run_records,unique_instances,completed,time_limit,error,valid_complete,valid_partial,invalid_certificate,constraint_violation,no_solution,execution_status
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,go_bp3d,gedex/bp3d,pivot greedy,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,120,0,120,120,0,60,120,0,0,0,120,0,0,0,PROTOCOL_V3_EXECUTED
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,jerry,jerry800416/3D-bin-packing,pivot/fix-point greedy,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,120,0,120,120,0,60,119,1,0,0,119,0,0,1,PROTOCOL_V3_EXECUTED
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packingsolver_fork_box,PackingSolver fork,box portfolio,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,120,0,120,120,0,60,13,107,0,0,120,0,0,0,PROTOCOL_V3_EXECUTED
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packingsolver_fork_boxstacks,PackingSolver fork,boxstacks portfolio,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packingsolver_upstream_box,PackingSolver upstream,box portfolio,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,120,0,120,120,0,60,11,109,0,0,120,0,0,0,PROTOCOL_V3_EXECUTED
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,packingsolver_upstream_boxstacks,PackingSolver upstream,boxstacks portfolio,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,py3dbp,py3dbp,pivot greedy,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,120,0,120,120,0,60,120,0,0,0,120,0,0,0,PROTOCOL_V3_EXECUTED
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,rust_brkga,u-nesting,BRKGA,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,120,0,120,120,0,60,120,0,0,0,120,0,0,0,PROTOCOL_V3_EXECUTED
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,rust_extreme_point,u-nesting,ExtremePoint,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,120,0,120,120,0,60,120,0,0,0,120,0,0,0,PROTOCOL_V3_EXECUTED
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,rust_ga,u-nesting,GA,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,120,0,120,120,0,60,120,0,0,0,120,0,0,0,PROTOCOL_V3_EXECUTED
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,rust_layer,u-nesting,Layer/BottomLeftFill,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,120,0,120,120,0,60,120,0,0,0,120,0,0,0,PROTOCOL_V3_EXECUTED
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,rust_sa,u-nesting,SA,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,120,0,120,120,0,60,120,0,0,0,120,0,0,0,PROTOCOL_V3_EXECUTED
B03,Egeblad-Pisinger 3D-KP,PUBLIC_QUALITY,PROFIT_KNAPSACK,skjolber_fast_bruteforce,skjolber/3d-bin-container-packing,FastBruteForce,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ADAPTER_MISSING
