track,implementation,algorithm,budget_s,generator_type,items_n,valid_complete,mean_bins
PROJECTION,jerry,Jerry pivot/fix-point greedy,10.0,7,60,10,1.000000
PROJECTION,jerry,Jerry pivot/fix-point greedy,10.0,7,90,10,1.000000
PROJECTION,jerry,Jerry pivot/fix-point greedy,10.0,8,30,10,5.600000
PROJECTION,jerry,Jerry pivot/fix-point greedy,10.0,8,60,10,10.600000
PROJECTION,jerry,Jerry pivot/fix-point greedy,10.0,8,90,10,14.100000
PROJECTION,jerry,Jerry pivot/fix-point greedy,10.0,9,30,10,4.100000
PROJECTION,jerry,Jerry pivot/fix-point greedy,10.0,9,60,10,4.100000
PROJECTION,jerry,Jerry pivot/fix-point greedy,10.0,9,90,10,4.300000
PROJECTION,py3dbp,pivot greedy,1.0,1,30,10,8.000000
PROJECTION,py3dbp,pivot greedy,1.0,1,60,10,14.800000
PROJECTION,py3dbp,pivot greedy,1.0,1,90,10,23.800000
PROJECTION,py3dbp,pivot greedy,1.0,6,30,10,1.000000
PROJECTION,py3dbp,pivot greedy,1.0,6,60,10,1.000000
PROJECTION,py3dbp,pivot greedy,1.0,6,90,10,1.000000
PROJECTION,py3dbp,pivot greedy,1.0,7,30,10,1.000000
PROJECTION,py3dbp,pivot greedy,1.0,7,60,10,1.000000
PROJECTION,py3dbp,pivot greedy,1.0,7,90,10,1.000000
PROJECTION,py3dbp,pivot greedy,1.0,8,30,10,5.600000
PROJECTION,py3dbp,pivot greedy,1.0,8,60,10,10.600000
PROJECTION,py3dbp,pivot greedy,1.0,8,90,10,14.100000
PROJECTION,py3dbp,pivot greedy,1.0,9,30,10,4.100000
PROJECTION,py3dbp,pivot greedy,1.0,9,60,10,4.100000
PROJECTION,py3dbp,pivot greedy,1.0,9,90,10,4.300000
PROJECTION,py3dbp,pivot greedy,10.0,1,30,10,8.000000
PROJECTION,py3dbp,pivot greedy,10.0,1,60,10,14.800000
PROJECTION,py3dbp,pivot greedy,10.0,1,90,10,23.800000
PROJECTION,py3dbp,pivot greedy,10.0,6,30,10,1.000000
PROJECTION,py3dbp,pivot greedy,10.0,6,60,10,1.000000
PROJECTION,py3dbp,pivot greedy,10.0,6,90,10,1.000000
PROJECTION,py3dbp,pivot greedy,10.0,7,30,10,1.000000
PROJECTION,py3dbp,pivot greedy,10.0,7,60,10,1.000000
PROJECTION,py3dbp,pivot greedy,10.0,7,90,10,1.000000
PROJECTION,py3dbp,pivot greedy,10.0,8,30,10,5.600000
PROJECTION,py3dbp,pivot greedy,10.0,8,60,10,10.600000
PROJECTION,py3dbp,pivot greedy,10.0,8,90,10,14.100000
PROJECTION,py3dbp,pivot greedy,10.0,9,30,10,4.100000
PROJECTION,py3dbp,pivot greedy,10.0,9,60,10,4.100000
PROJECTION,py3dbp,pivot greedy,10.0,9,90,10,4.300000
